layer,lag,reuse_prob,jaccard,domain,chance_reuse
43,32,0.3601436997991968,0.24006840994792802,code,0.32348298828125
44,32,0.35162525100401604,0.23644778637248517,code,0.31443437109375005
45,32,0.38679718875502006,0.26955164146429206,code,0.36303586718749997
46,32,0.30307166164658633,0.2021820409621614,code,0.27113601171875
47,32,0.21955007530120482,0.15334823866450373,code,0.188435546875
0,1,0.14009563695461932,0.09037002641203165,general,0.09756336718750001
1,1,0.26981497687210904,0.17407832544724655,general,0.10360971875
2,1,0.2945211901487686,0.198016668500479,general,0.11956601171875
3,1,0.4051600200025003,0.27673346780735203,general,0.1588922734375
4,1,0.3897205900737592,0.27039417223190193,general,0.141451921875
5,1,0.39429928741092635,0.27400148295260185,general,0.141179375
6,1,0.48313851731466434,0.35362430349303703,general,0.200434375
7,1,0.5583041630203776,0.4175846545142706,general,0.26985007812499995
8,1,0.4804506813351669,0.3434995280725997,general,0.20002941015625003
9,1,0.4939992499062383,0.3555105643616707,general,0.1845922890625
10,1,0.44835291911488934,0.3186978514394441,general,0.14754371484375
11,1,0.4338667333416677,0.3017147123410406,general,0.16622470703125003
12,1,0.49353044130516316,0.3534284997967958,general,0.22643058984375003
13,1,0.3735310663832979,0.2530729677873071,general,0.1351325859375
14,1,0.45161895236904614,0.3133100401008889,general,0.19840512890624998
15,1,0.4943742967870984,0.35227886946851816,general,0.21771149999999997
16,1,0.40958244780597575,0.2776226648710709,general,0.1555722734375
17,1,0.4694493061632704,0.3285066394205037,general,0.25911934765625
18,1,0.5369264908113515,0.39980898655733005,general,0.223419890625
19,1,0.6153269158644831,0.4727079007864105,general,0.33199116406249995
20,1,0.5088448556069509,0.3681739077413536,general,0.21528480468750003
21,1,0.47943492936617077,0.34200920136662105,general,0.18637201171875
22,1,0.4333979247405926,0.30439315514949966,general,0.15572013671874996
23,1,0.40076884610576324,0.2770979544826276,general,0.15713321875000005
24,1,0.47943492936617077,0.3423102352218491,general,0.22863424999999998
25,1,0.36853044130516316,0.2491605489980287,general,0.13592764453125
26,1,0.44647768471058885,0.31075667675242624,general,0.19191378125000003
27,1,0.4804038004750594,0.3432225620499154,general,0.20546316015625
28,1,0.422021502687836,0.28987616126008425,general,0.16364378906250002
29,1,0.4727622202775347,0.33371471078684484,general,0.2529485195312501
30,1,0.5803069133641705,0.44240077684258194,general,0.22830908203125
31,1,0.6590198774846856,0.5208808055163849,general,0.3452886210937501
32,1,0.5485685710713839,0.4049124078127703,general,0.218057046875
33,1,0.5294880610076259,0.3866868306923313,general,0.19041267578124998
34,1,0.45330666333291664,0.3209184198307839,general,0.15461190234375
35,1,0.4318039754969371,0.3010658716621962,general,0.16876623828124998
36,1,0.48452931616452055,0.34753241924138284,general,0.21107689453125
37,1,0.3670927615951994,0.2482474728255451,general,0.13151435937500003
38,1,0.4782785348168521,0.33673408032702945,general,0.2272106640625
39,1,0.468042880360045,0.33271302324934027,general,0.1765821796875
40,1,0.41012939117389674,0.2850690224611965,general,0.156462765625
41,1,0.39798724840605076,0.27387464114555,general,0.16650657421875
42,1,0.3929397424678085,0.2696299269620935,general,0.16887321093750002
43,1,0.45043130391298913,0.31857541688770596,general,0.192046484375
44,1,0.4891236404550569,0.3474328313683233,general,0.22935568750000002
45,1,0.4805131891486436,0.34525220580977545,general,0.22612302734374998
46,1,0.40692586573321665,0.2823080601802942,general,0.20504692968749996
47,1,0.2573602950368796,0.1777773309464771,general,0.133336359375
0,2,0.12095211302825706,0.07625550243704782,general,0.09756336718750001
1,2,0.16805763940985247,0.10325614204083822,general,0.10360971875
2,2,0.1970961490372593,0.125967880581534,general,0.11956601171875
3,2,0.28085146286571644,0.1788465819973697,general,0.1588922734375
4,2,0.27789759939985,0.18145967560821274,general,0.141451921875
5,2,0.28599337334333585,0.18751571009635526,general,0.141179375
6,2,0.39989684921230306,0.28022949515822737,general,0.200434375
7,2,0.4863090772693173,0.34777046742538115,general,0.26985007812499995
8,2,0.3824237309327332,0.2579774258693989,general,0.20002941015625003
9,2,0.3872999499874969,0.2614164918741063,general,0.1845922890625
10,2,0.33655288822205554,0.22475447366670176,general,0.14754371484375
11,2,0.3285665166291573,0.2142685604801134,general,0.16622470703125003
12,2,0.402975743935984,0.2731280527979703,general,0.22643058984375003
13,2,0.2600025006251563,0.1664444221833569,general,0.1351325859375
14,2,0.3707333083270818,0.2448918645467783,general,0.19840512890624998
15,2,0.4133377094273568,0.27957232398342674,general,0.21771149999999997
16,2,0.3284414853713428,0.21261235777364812,general,0.1555722734375
17,2,0.3939734933733433,0.2625788120911902,general,0.25911934765625
