layer,coverage,experts_needed,frac_of_experts,domain
20,0.9,52,0.40625,medical
20,0.95,63,0.4921875,medical
20,0.99,83,0.6484375,medical
21,0.9,48,0.375,medical
21,0.95,59,0.4609375,medical
21,0.99,83,0.6484375,medical
22,0.9,56,0.4375,medical
22,0.95,66,0.515625,medical
22,0.99,85,0.6640625,medical
23,0.9,58,0.453125,medical
23,0.95,68,0.53125,medical
23,0.99,85,0.6640625,medical
24,0.9,54,0.421875,medical
24,0.95,65,0.5078125,medical
24,0.99,86,0.671875,medical
25,0.9,55,0.4296875,medical
25,0.95,64,0.5,medical
25,0.99,80,0.625,medical
26,0.9,49,0.3828125,medical
26,0.95,61,0.4765625,medical
26,0.99,81,0.6328125,medical
27,0.9,48,0.375,medical
27,0.95,58,0.453125,medical
27,0.99,78,0.609375,medical
28,0.9,49,0.3828125,medical
28,0.95,59,0.4609375,medical
28,0.99,77,0.6015625,medical
29,0.9,55,0.4296875,medical
29,0.95,64,0.5,medical
29,0.99,77,0.6015625,medical
30,0.9,42,0.328125,medical
30,0.95,53,0.4140625,medical
30,0.99,73,0.5703125,medical
31,0.9,46,0.359375,medical
31,0.95,56,0.4375,medical
31,0.99,77,0.6015625,medical
32,0.9,55,0.4296875,medical
32,0.95,66,0.515625,medical
32,0.99,85,0.6640625,medical
33,0.9,49,0.3828125,medical
33,0.95,60,0.46875,medical
33,0.99,83,0.6484375,medical
34,0.9,54,0.421875,medical
34,0.95,66,0.515625,medical
34,0.99,84,0.65625,medical
35,0.9,60,0.46875,medical
35,0.95,70,0.546875,medical
35,0.99,86,0.671875,medical
36,0.9,55,0.4296875,medical
36,0.95,65,0.5078125,medical
36,0.99,88,0.6875,medical
37,0.9,56,0.4375,medical
37,0.95,65,0.5078125,medical
37,0.99,77,0.6015625,medical
38,0.9,51,0.3984375,medical
38,0.95,61,0.4765625,medical
38,0.99,80,0.625,medical
39,0.9,52,0.40625,medical
39,0.95,61,0.4765625,medical
39,0.99,78,0.609375,medical
40,0.9,47,0.3671875,medical
40,0.95,57,0.4453125,medical
40,0.99,74,0.578125,medical
41,0.9,53,0.4140625,medical
41,0.95,61,0.4765625,medical
41,0.99,75,0.5859375,medical
42,0.9,48,0.375,medical
42,0.95,56,0.4375,medical
42,0.99,69,0.5390625,medical
43,0.9,42,0.328125,medical
43,0.95,52,0.40625,medical
43,0.99,70,0.546875,medical
44,0.9,44,0.34375,medical
44,0.95,51,0.3984375,medical
44,0.99,66,0.515625,medical
45,0.9,39,0.3046875,medical
45,0.95,48,0.375,medical
45,0.99,67,0.5234375,medical
46,0.9,41,0.3203125,medical
46,0.95,49,0.3828125,medical
46,0.99,65,0.5078125,medical
47,0.9,43,0.3359375,medical
47,0.95,54,0.421875,medical
47,0.99,72,0.5625,medical
